Fecha	AL29	AL30	AL35	AE38	AL41	BPY26	BPJ5D	BPA7D	BPB7D	BPC7D	BPD7D	GD29	GD30	GD35	GD38	GD41	GD46
20/09/24	65.710	58.220	49.450	53.000	46.100	87.740	83.000	97.200	88.200	83.200	85.000	67.750	59.500	49.660	54.300	47.000	52.050
19/09/24	65.750	58.510	49.750	52.500	46.080	88.000	82.880	97.100	88.200	83.250	82.100	67.700	59.900	50.100	54.510	47.400	52.300
18/09/24	64.680	58.050	48.650	51.980	45.500	87.480	83.280	97.200	88.100	82.300	81.800	66.390	59.020	49.060	53.830	46.900	51.400
17/09/24	64.090	57.700	47.710	51.200	44.837	87.500	83.500	97.500	89.000	81.980	81.400	66.000	58.790	48.900	53.390	45.700	50.200
16/09/24	64.500	57.740	48.250	51.310	45.300	86.890	83.300	97.500	89.400	81.250	80.500	66.000	58.950	48.750	53.300	45.950	51.100
13/09/24	63.400	56.550	47.200	50.240	43.500	86.860	83.200	96.850	88.000	80.750	79.950	66.000	58.120	47.850	52.100	45.400	51.300
12/09/24	62.310	55.830	46.600	49.382	42.500	85.800	83.130	96.600	86.500	78.800	78.870	63.700	57.250	46.700	50.970	44.200	49.830
11/09/24	62.190	55.960	46.250	48.800	42.370	85.400	83.000	96.310	86.650	78.650	78.740	63.750	56.900	46.200	50.500	43.950	49.000
10/09/24	62.450	56.240	45.990	48.920	42.200	86.250	83.330	97.500	87.250	80.490	78.900	63.610	57.070	46.000	50.500	43.900	49.900
09/09/24	62.990	56.620	46.064	49.050	42.000	85.800	84.500	96.750	87.780	80.000	79.700	64.000	57.500	46.400	50.850	43.600	49.500
06/09/24	61.890	55.070	44.900	47.830	40.899	83.750	83.900	95.450	84.500	77.750	78.000	63.950	55.810	45.000	50.600	42.250	48.900
05/09/24	61.930	55.290	45.495	48.300	41.280	82.250	82.850	95.700	85.000	77.500	76.750	62.900	56.390	45.630	50.150	43.000	48.500
04/09/24	60.820	54.710	44.950	47.600	40.630	82.090	82.500	95.500	84.480	77.890	76.940	62.830	55.800	45.300	49.700	42.990	46.550
03/09/24	61.320	54.200	45.350	47.350	40.800	82.270	82.500	93.600	84.560	78.750	77.000	61.650	55.400	45.250	49.700	42.700	47.331
02/09/24	62.150	54.840	46.000	49.180	41.839	83.000	82.500	93.600	84.560	78.750	77.000	61.150	54.840	46.000	51.000	41.839	49.300
30/08/24	61.300	54.400	45.495	48.290	41.280	82.530	82.250	93.500	83.750	77.000	77.500	62.000	55.480	45.900	50.390	43.449	48.000
