ticker,fechas_pagos,flujos,amortizacion


BPY26,30/11/24;28/02/25;28/05/25;28/08/25;28/11/25;28/02/26;31/05/26,0.74;0.73;0.75;0.75;33.75;22.61;45.24,0.0;0.0;0.0;0.0;0.0;33.0;22.11

BPJ5D,30/09/24;31/10/24;30/11/24;31/12/24;31/01/25;28/02/25;31/03/25;30/04/25;31/05/25;30/06/25,8.33;8.33;8.33;8.33;8.33;8.33;8.33;8.33;8.33;8.37,0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0

BPA7D,31/10/24;30/04/25;30/10/25;30/04/26;30/10/26;30/04/27;31/10/27,3.39;2.51;2.54;2.53;2.54;52.53;51.28,0.0;0.0;0.0;0.0;0.0;50.0;50.0

BPB7D,31/10/24;30/04/25;30/10/25;30/04/26;30/10/26;30/04/27;31/10/27,3.33;2.49;2.5;2.5;2.5;52.5;51.26,0.0;0.0;0.0;0.0;0.0;50.0;50.0

BPC7D,31/10/24;30/04/25;30/10/25;30/04/26;30/10/26;30/04/27;31/10/27,3.33;2.49;2.5;2.5;2.5;52.5;51.26,0.0;0.0;0.0;0.0;0.0;50.0;50.0

BPD7D,31/10/24;30/04/25;30/10/25;30/04/26;30/10/26;30/04/27;31/10/27,3.33;2.49;2.5;2.5;2.5;52.5;51.26,0.0;0.0;0.0;0.0;0.0;50.0;50.0


AL29,09/01/25;09/07/25;09/01/26;09/07/26;09/01/27;09/07/27;09/01/28;09/07/28;09/01/29;09/07/29,10.50;10.45;10.40;10.35;10.30;10.25;10.20;10.15;10.10;10.05,10.0;10.0;10.0;10.0;10.0;10.0;10.0;10.0;10.0;10.0


AL30,09/01/25;09/07/25;09/01/26;09/07/26;09/01/27;09/07/27;09/01/28;09/07/28;09/01/29;09/07/29;09/01/30;09/07/30,8.33;8.30;8.27;8.24;8.21;8.42;8.35;8.28;8.21;8.14;8.07,8.0;8.0;8.0;8.0;8.0;8.0;8.0;8.0;8.0;8.0;8.0;8.0

AL35,09/01/25;09/07/25;09/01/26;09/07/26;09/01/27;09/07/27;09/01/28;09/07/28;09/01/29;09/07/29;09/01/30;09/07/30;09/01/31;09/07/31;09/01/32;09/07/32;09/01/33;09/07/33;09/01/34;09/07/34;09/01/35;09/07/35,2.06;2.06;2.06;2.06;2.06;2.06;2.38;2.38;2.5;2.5;2.5;2.5;12.5;12.25;12.0;11.75;11.5;11.25;11.0;10.75;10.5;10.25,0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;10.0;10.0;10.0;10.0;10.0;10.0;10.0;10.0;10.0;10.0

